id,name,ranking,team_id
642,Riley Nash,642,5
643,John-Michael Liles,643,5
644,Braydon Coburn,644,26
645,Brian Flynn,645,16
646,Andrej Sustr,646,26
647,Ryan Murray,647,8
648,Mark Arcobello,648,27
649,Matt Bartkowski,649,28
650,Radko Gudas,650,22
651,Robert Bortuzzo,651,25
652,Paul Gaustad,652,18
653,Dwight King,653,14
654,Bo Horvat,654,28
655,Matt Stajan,655,6
656,Jiri Sekac,656,1
657,Ryan White,657,22
658,Ryan Reaves,658,25
659,Beau Bennett,659,23
660,Viktor Stalberg,660,20
661,Erik Haula,661,15
662,Sean Bergenheim,662,15
663,Jacob Josefson,663,17
664,Thomas Hickey,664,19
665,Anthony Peluso,665,30
666,Tomas Jurco,666,11
667,Zack Kassian,667,16
668,Stephen Gionta,668,17
669,Chris Tierney,669,24
670,Mark Letestu,670,12
671,Colin Miller,671,3
672,Nicklas Grossmann,672,2
673,Jared Cowen,673,21
674,Roman Polak,674,27
675,Nate Thompson,675,1
676,Curtis Lazar,676,21
677,Fedor Tyutin,677,8
678,Valeri Nichushkin,678,10
679,Andrej Nestrasil,679,5
680,Matt Hunwick,680,27
681,Luke Schenn,681,22
682,Luca Sbisa,682,28
683,Paul Byron,683,16
684,Pascal Dupuis,684,23
685,Zach Redmond,685,9
686,Shawn Thornton,686,13
687,Willie Mitchell,687,13
688,Dennis Seidenberg,688,3
689,Jordan Nolan,689,14
690,Zbynek Michalek,690,2
691,Michael Latta,691,29
692,Scott Laughton,692,22
693,Chris VandeVelde,693,22
694,Chris Terry,694,5
695,Ron Hainsey,695,5
696,Pierre-Edouard Bellemare,696,22
697,Gabriel Bourque,697,18
698,Cody Goloubef,698,8
699,Lauri Korpikoski,699,12
700,Jesper Fast,700,20
701,John Scott,701,2
702,Jamie McBain,702,14
703,Eric Nystrom,703,18
704,Deryk Engelland,704,6
705,David Schlemko,705,17
706,Ryan Murphy,706,5
707,Drew Miller,707,11
708,Sam Reinhart,708,4
709,Nick Schultz,709,22
710,Johan Larsson,710,4
711,Andrew Desjardins,711,7
712,Rob Scuderi,712,23
713,Rene Bourque,713,8
714,Tanner Glass,714,20
715,James Sheppard,715,8
716,Boyd Gordon,716,2
717,Jay McClement,717,5
718,Matt Greene,718,14
719,Nicolas Deslauriers,719,4
720,Richard Panik,720,27
721,Jay Harrison,721,30
722,Andrew MacDonald,722,22
723,Tim Jackman,723,1
724,Barclay Goodrow,724,24
725,Jack Skille,725,9
726,Linden Vey,726,28
727,Sergei Gonchar,727,23
728,Tyler Kennedy,728,17
729,Nate Prosser,729,15
730,Ryan Stanton,730,29
731,Dainius Zubrus,731,24
732,Tuomo Ruutu,732,17
733,Andy Andreoff,733,14
734,Nick Shore,734,14
735,Alexander Wennberg,735,8
736,Adam Pardy,736,30
737,Mattias Janmark,737,10
738,Connor Murphy,738,2
739,Dalton Prout,739,8
740,David Booth,740,13
741,Markus Granlund,741,6
742,Jared McCann,742,28
743,Nikita Zadorov,743,9
744,Ben Smith,744,24
745,Brandon Manning,745,22
746,Brian Strait,746,19
747,Bobby Farnham,747,17
748,Mikhail Grigorenko,748,9
749,Shayne Gostisbehere,749,22
750,Dmitry Orlov,750,29
751,Joakim Andersson,751,11
752,Ben Chiarot,752,30
753,Mike Brown,753,24
754,Jan Hejda,754,7
755,Sven Baertschi,755,28
756,Nate Schmidt,756,29
757,Andrej Meszaros,757,9
758,Nikita Nesterov,758,26
759,Matt Tennyson,759,24
760,Martin Havlat,760,25
761,Rob Klinkhammer,761,12
762,Jyrki Jokipakka,762,10
763,Michal Rozsival,763,7
764,Joonas Donskoi,764,24
